Producto,Unidad,Precio Productores,Existencia Inicial,Categoría,Productor,Ubicación,Precio Ciudad Silvestre,Margen
Acelga arcoiris,Manojo,$11.00,50,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Aguacate,Kilo (min 1/2k) ,$66.00,30,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$94.00,0.7
Algafita,Manojo,$11.00,15,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Betabel amarillo (500g),Manojo,$11.00,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Betabel rojo (500g),Manojo,$11.00,100,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Chícharo,Kilo (min 1/2k) ,$33.00,20,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$47.00,0.7
Cilantro,Manojo,$11.00,60,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Colinabo,pieza,$13.20,10,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$19.00,0.7
Crema ( 1/2 Litro),Pieza,$82.50,10,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$118.00,0.7
Kale rizado verde y morado,Manojo,$11.00,100,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Kale toscano,Manojo,$11.00,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Lechuga,pieza,$11.00,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Nopales sin espinas,Pieza,$2.20,200,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$3.00,0.7
Pan de pulque,Pieza,$13.20,20,Panadería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$19.00,0.7
Pollo Libre Pastoreo ( Aprox. 2K),pieza,$275.00,15,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$344.00,0.8
Queso Asadero (450gr),Pieza,$99.00,50,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$141.00,0.7
