Producto,Unidad,Precio Productores,Existencia Inicial,Categoría,Productor,Ubicación,Precio Ciudad Silvestre,Margen
"Kit de Tinga de Setas (Ajo, Cebolla, Jitomate, Acelga, Chipotle, Tomillo, Setas)",Pieza,$80.00,10,Receta,Receta de @adriiio ,CDMX,$114.00,0.7
Acelga arcoiris,Manojo,$11.50,30,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Algafita,Manojo,$11.50,10,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Árnica,Manojo,$11.50,5,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Cilantro,Manojo,$11.50,20,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Hinojo (En hoja),Manojo,$11.50,5,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Kale rizado verde,Manojo,$11.50,20,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Kale toscano,Manojo,$11.50,30,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Lechuga,Pieza,$11.50,10,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Lechuga mantequilla baby,Pieza,$11.50,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Quelite,Manojo,$11.50,10,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Quntonil,Manojo,$11.50,10,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Romero,Manojo,$11.50,5,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Té de monte,Manojo,$11.50,5,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Albahaca (100 gr),Manojo,$9.00,50,Verdes,AGROELITE (FB: @AgroeliteMexico),Morelos,$13.00,0.7
Arúgula (100gr),Manojo,$9.00,50,Verdes,AGROELITE (FB: @AgroeliteMexico),Morelos,$13.00,0.7
Espinaca baby,Domo 200gr,$50.00,50,Verdes,AGROELITE (FB: @AgroeliteMexico),Morelos,$71.00,0.7
Cilantro Criollo,Manojo,$11.50,5,Verdes,EL JARDIN DEL AXOLOTE,CDMX,$16.00,0.7
"Flores Comestibles (20 piezas: mastuerzo, lavanda, hinojo, citronela)",Domo,$50.00,10,Verdes,EL JARDIN DEL AXOLOTE,CDMX,$71.00,0.7
Hinojo de Hoja,Manojo,$11.50,10,Verdes,EL JARDIN DEL AXOLOTE,CDMX,$16.00,0.7
Hoja de Higo (50 gr),Manojo,$15.00,20,Verdes,EL JARDIN DEL AXOLOTE,CDMX,$21.00,0.7
Lavanda,Manojo,$11.50,10,Verdes,EL JARDIN DEL AXOLOTE,CDMX,$16.00,0.7
Mastuerzo (hoja sabor rábano floral),Manojo,$11.50,10,Verdes,EL JARDIN DEL AXOLOTE,CDMX,$16.00,0.7
Salvia,Manojo,$11.50,2,Verdes,EL JARDIN DEL AXOLOTE,CDMX,$16.00,0.7
Toronjil,Manojo,$11.50,1,Verdes,EL JARDIN DEL AXOLOTE,CDMX,$16.00,0.7
Aguacate,Kilo (min 1/2k) ,$69.00,30,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$99.00,0.7
Betabel rojo (500g),Manojo,$11.50,60,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Cebollitas,Manojo,$11.50,20,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Chícharo,Kilo (min 1/2k) ,$34.50,20,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$49.00,0.7
Col morada,Pieza,$13.80,10,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$20.00,0.7
Col verde,Pieza,$13.80,20,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$20.00,0.7
Colinabo,Pieza,$11.50,10,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Jitomate cherry mix (250 grs),Domo,$26.00,60,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$37.00,0.7
Nopales sin espinas,Pieza,$2.30,300,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$3.00,0.7
Ajo morado (Cabeza),Pieza,$12.50,50,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$18.00,0.7
Alcachofa mediana,Pieza,$22.00,20,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$31.00,0.7
Berenjena (400 gr),Pieza,$27.50,20,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$39.00,0.7
Brocoli,Pieza,$14.00,40,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$20.00,0.7
Calabacita Italiana,Kilo (min 1/2k) ,$20.00,40,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$29.00,0.7
Cebolla Blanca,Kilo (min 1/2k) ,$18.00,30,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$26.00,0.7
Chalote (80gr),Pieza,$10.00,50,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$14.00,0.7
Espárrago (500gr),Manojo,$75.00,20,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$107.00,0.7
Hinojo de Bulbo,Pieza,$38.00,40,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$54.00,0.7
Jitomate Saladette,Kilo (min 1/2k) ,$30.00,60,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$43.00,0.7
Papa Alpha,Kilo (min 1/2k) ,$25.00,30,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$36.00,0.7
